"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Городское поселение поселок Батагай","3,753","1,725","2,028","46.0","54.0"
"Городское население - пгт Батагай","3,753","1,725","2,028","46.0","54.0"
"Сельское население","-","-","-","-","-"
"Городское поселение поселок Эсэ-Хая - городское население - пгт Эсэ-Хайя","153","73","80","47.7","52.3"
"Сельское поселение Адычинский наслег - сельское население","716","361","355","50.4","49.6"
"Сельское поселение Арылахский наслег - сельское население","327","159","168","48.6","51.4"
"Сельское поселение Бабушкинский наслег - сельское население","343","171","172","49.9","50.1"
"Сельское поселение Барыласский наслег - сельское население","75","43","32","57.3","42.7"
"Сельское поселение Борулахский наслег - сельское население","655","343","312","52.4","47.6"
"Сельское поселение Дулгалахский наслег - сельское население","237","120","117","50.6","49.4"
"Сельское поселение Сартанский наслег - сельское население","460","232","228","50.4","49.6"
"Сельское поселение Столбинский наслег - сельское население","263","123","140","46.8","53.2"
"Сельское поселение Суордахский наслег - сельское население","292","140","152","47.9","52.1"
"Сельское поселение Табалахский наслег - сельское население","776","370","406","47.7","52.3"
"Сельское поселение Черюмчинский наслег - сельское население","199","109","90","54.8","45.2"
"Сельское поселение Эгинский наслег - сельское население","539","249","290","46.2","53.8"
"Сельское поселение Эльгесский наслег - сельское население","291","150","141","51.5","48.5"
"Сельское поселение Янский наслег - сельское население","130","63","67","48.5","51.5"
"Вилюйский муниципальный район","25,104","12,352","12,752","49.2","50.8"
"Городское население","12,802","6,161","6,641","48.1","51.9"
"Сельское население","12,302","6,191","6,111","50.3","49.7"
"Городское поселение Город Вилюйск","10,367","4,857","5,510","46.9","53.1"
"Городское население - г. Вилюйск","10,032","4,689","5,343","46.7","53.3"
"Сельское население","335","168","167","50.1","49.9"
"Городское поселение поселок Кысыл-Сыр - городское население - пгт Кысыл-Сыр","2,770","1,472","1,298","53.1","46.9"
"Сельское поселение Арылахский наслег - сельское население","1,153","574","579","49.8","50.2"
"Сельское поселение Баппагайинский наслег - сельское население","637","315","322","49.5","50.5"
"Сельское поселение Бекчегинский наслег - сельское население","466","236","230","50.6","49.4"
"Сельское поселение Борогонский наслег - сельское население","422","204","218","48.3","51.7"
"Сельское поселение Екюндюнский наслег - сельское население","378","163","215","43.1","56.9"
"Сельское поселение Жемконский наслег - сельское население","496","249","247","50.2","49.8"
"Сельское поселение Кыргыдайский наслег - сельское население","522","261","261","50.0","50.0"
"Сельское поселение Кюлетский  1-й наслег - сельское население","814","409","405","50.2","49.8"
"Сельское поселение Кюлетский 2-й наслег - сельское население","399","203","196","50.9","49.1"
"Сельское поселение Лекеченский наслег - сельское население","523","273","250","52.2","47.8"
"Сельское поселение Первый Тогусский  наслег - сельское население","548","275","273","50.2","49.8"
"Сельское поселение Тасагарский наслег - сельское население","594","312","282","52.5","47.5"
"Сельское поселение Тогусский наслег - сельское население","589","296","293","50.3","49.7"
"Сельское поселение Тылгынинский наслег - сельское население","617","304","313","49.3","50.7"
"Сельское поселение Хагынский наслег - сельское население","403","200","203","49.6","50.4"
"Сельское поселение Халбакинский наслег - сельское население","884","467","417","52.8","47.2"
"Сельское поселение Чернышевский наслег - сельское население","1,021","526","495","51.5","48.5"
"Сельское поселение Чочунский наслег - сельское население","949","478","471","50.4","49.6"
"Сельское поселение Югюлятский наслег - сельское население","552","278","274","50.4","49.6"
"Горный муниципальный район - сельское население","12,104","5,924","6,180","48.9","51.1"
"Сельское поселение Атамайский наслег","666","337","329","50.6","49.4"
"Сельское поселение Бердигестяхский наслег","6,964","3,374","3,590","48.4","51.6"
"село Бердигестях","6,956","3,371","3,585","48.5","51.5"
"прочие сельские населенные пункты","8","3","5","37.5","62.5"
"Сельское поселение Кировский наслег","608","301","307","49.5","50.5"
"Сельское поселение Маганинский наслег","558","288","270","51.6","48.4"
"Сельское поселение Малтанинский наслег","627","328","299","52.3","47.7"
"Сельское поселение Мытахский наслег","660","298","362","45.2","54.8"
"Сельское поселение Одунунский наслег","1,020","498","522","48.8","51.2"
"Сельское поселение Октябрьский наслег","508","255","253","50.2","49.8"
"Сельское поселение Шологонский наслег","493","245","248","49.7","50.3"
"Жиганский национальный муниципальный район - сельское население","4,177","2,002","2,175","47.9","52.1"
"Сельское поселение Бестяхский наслег","208","112","96","53.8","46.2"
"Сельское поселение Жиганский эвенкийский национальный наслег - село Жиганск","3,329","1,567","1,762","47.1","52.9"
"Сельское поселение Кыстатыам","384","204","180","53.1","46.9"
"Сельское поселение Линдинский эвенкийский национальный наслег","256","119","137","46.5","53.5"
"Межселенные территории","-","-","-","-","-"
"Кобяйский муниципальный район","11,352","5,499","5,853","48.4","51.6"
"Городское население","3,289","1,538","1,751","46.8","53.2"
"Сельское население","8,063","3,961","4,102","49.1","50.9"
"Городское поселение поселок Сангар","3,441","1,612","1,829","46.8","53.2"
"Городское население - пгт Сангар","3,289","1,538","1,751","46.8","53.2"
"Сельское население","152","74","78","48.7","51.3"
"Сельское поселение Арыктахский наслег - сельское население","570","283","287","49.6","50.4"
"Сельское поселение Кировский эвенский национальный наслег - сельское население","452","220","232","48.7","51.3"
"Сельское поселение Кобяйский наслег - сельское население","2,172","1,019","1,153","46.9","53.1"
"Сельское поселение Куокуйский наслег - сельское население","705","355","350","50.4","49.6"
"Сельское поселение Ламынхинский национальный наслег - сельское население","724","353","371","48.8","51.2"
"Сельское поселение Люччегинский  1-й наслег - сельское население","305","145","160","47.5","52.5"
"Сельское поселение Люччегинский  2-й наслег - сельское население","465","219","246","47.1","52.9"
"Сельское поселение Мукучунский наслег - сельское население","1,147","583","564","50.8","49.2"
"Сельское поселение Нижилинский наслег - сельское население","531","285","246","53.7","46.3"
"Сельское поселение Ситтинский наслег - сельское население","362","183","179","50.6","49.4"
"Сельское поселение Тыайинский наслег - сельское население","478","242","236","50.6","49.4"
"Ленский муниципальный район","32,418","15,606","16,812","48.1","51.9"
"Городское население","28,360","13,544","14,816","47.8","52.2"
"Сельское население","4,058","2,062","1,996","50.8","49.2"
"Городское поселение Город Ленск - городское население - г. Ленск","21,392","10,151","11,241","47.5","52.5"
"Городское поселение поселок Витим - городское население - пгт Витим","3,406","1,620","1,786","47.6","52.4"
"Городское поселение поселок Пеледуй","3,562","1,773","1,789","49.8","50.2"
"Городское население - пгт Пеледуй","3,562","1,773","1,789","49.8","50.2"
"Сельское население","-","-","-","-","-"
"Сельское поселение Беченчинский наслег - сельское население","703","362","341","51.5","48.5"
"Сельское поселение Мурбайский наслег - сельское население","295","146","149","49.5","50.5"
"Сельское поселение Наторинский наслег - сельское население","364","172","192","47.3","52.7"
"Сельское поселение Нюйский наслег - сельское население","1,177","596","581","50.6","49.4"
"Сельское поселение Орто-Нахаринский наслег - сельское население","513","256","257","49.9","50.1"
"Сельское поселение Салдыкельский наслег - сельское население","337","171","166","50.7","49.3"
"Сельское поселение Толонский наслег - сельское население","357","185","172","51.8","48.2"
"Сельское поселение Ярославский наслег - сельское население","312","174","138","55.8","44.2"
"Мегино-Кангаласский муниципальный район","33,298","16,270","17,028","48.9","51.1"
"Городское население","5,099","2,571","2,528","50.4","49.6"
"Сельское население","28,199","13,699","14,500","48.6","51.4"
"Городское поселение поселок Нижний Бестях - городское население - пгт Нижний Бестях","5,099","2,571","2,528","50.4","49.6"
"Сельское поселение Алтанский наслег - сельское население","514","267","247","51.9","48.1"
"Сельское поселение Арангасский наслег - сельское население","279","148","131","53.0","47.0"
"Сельское поселение Батаринский наслег - сельское население","423","210","213","49.6","50.4"
"Сельское поселение Бютейдяхский наслег - сельское население","785","393","392","50.1","49.9"
"Сельское поселение Догдогинский наслег - сельское население","301","143","158","47.5","52.5"
"Сельское поселение Дойдунский наслег - сельское население","126","56","70","44.4","55.6"
"Сельское поселение Доллунский наслег - сельское население","725","356","369","49.1","50.9"
"Сельское поселение Жабыльский наслег - сельское население","559","275","284","49.2","50.8"
"Сельское поселение Жанхадинский наслег - сельское население","1,217","607","610","49.9","50.1"
"Сельское поселение Мегинский наслег - сельское население","715","365","350","51.0","49.0"
"Сельское поселение Мегюренский наслег - сельское население","515","271","244","52.6","47.4"
"Сельское поселение Мельжехсинский наслег - сельское население","404","192","212","47.5","52.5"
"Сельское поселение Морукский наслег - сельское население","319","179","140","56.1","43.9"
"Сельское поселение Нахаринский  1-й наслег - сельское население","481","224","257","46.6","53.4"
"Сельское поселение Нахаринский  2-й наслег - сельское население","660","337","323","51.1","48.9"
"Сельское поселение Нерюктяйинский наслег - сельское население","2,378","1,192","1,186","50.1","49.9"
"Сельское поселение Рассолодинский наслег - сельское население","474","222","252","46.8","53.2"
"Сельское поселение село Бедимя - сельское население","518","267","251","51.5","48.5"
"Сельское поселение Село Майя - сельское население - село Майя","8,075","3,698","4,377","45.8","54.2"
"Сельское поселение Тарагайский наслег - сельское население","837","406","431","48.5","51.5"
"Сельское поселение Томторский наслег - сельское население","460","234","226","50.9","49.1"
"Сельское поселение Тыллыминский  1-й наслег - сельское население","593","275","318","46.4","53.6"
"Сельское поселение Тыллыминский  2-й наслег - сельское население","120","60","60","50.0","50.0"
"Сельское поселение Тюнгюлюнский наслег - сельское население","2,137","1,046","1,091","48.9","51.1"
"Сельское поселение Хаптагайский наслег - сельское население","1,008","506","502","50.2","49.8"
"Сельское поселение Харанский наслег - сельское население","1,411","673","738","47.7","52.3"
"Сельское поселение Ходоринский наслег - сельское население","598","289","309","48.3","51.7"
"Сельское поселение Холгуминский наслег - сельское население","294","149","145","50.7","49.3"
"Сельское поселение Хоробутский наслег - сельское население","835","420","415","50.3","49.7"
"Сельское поселение Чыамайыкинский наслег - сельское население","438","239","199","54.6","45.4"
"Мирнинский муниципальный район","71,303","35,508","35,795","49.8","50.2"
"Городское население","68,618","34,209","34,409","49.9","50.1"
"Сельское население","2,685","1,299","1,386","48.4","51.6"
"Городское поселение Город Мирный - городское население - г. Мирный","34,045","16,615","17,430","48.8","51.2"
"Городское поселение Город Удачный","12,930","6,576","6,354","50.9","49.1"
"Городское население - г. Удачный","12,930","6,576","6,354","50.9","49.1"
"Сельское население","-","-","-","-","-"
"Городское поселение поселок Айхал","13,370","6,952","6,418","52.0","48.0"
"Городское население - пгт Айхал","13,370","6,952","6,418","52.0","48.0"
"Сельское население","-","-","-","-","-"
"Городское поселение поселок Алмазный","1,725","827","898","47.9","52.1"
"Городское население - пгт Алмазный","1,649","790","859","47.9","52.1"
"Сельское население","76","37","39","48.7","51.3"
"Городское поселение поселок Светлый - городское население - пгт Светлый","3,142","1,562","1,580","49.7","50.3"
"Городское поселение поселок Чернышевский - городское население - пгт Чернышевский","3,482","1,714","1,768","49.2","50.8"
"Сельское поселение Ботуобуйинский наслег - сельское население","545","269","276","49.4","50.6"
"Сельское поселение Садынский национальный эвенкийский наслег - сельское население","397","179","218","45.1","54.9"
"Сельское поселение Чуонинский наслег - сельское население","1,667","814","853","48.8","51.2"
"Момский муниципальный район - сельское население","3,733","1,788","1,945","47.9","52.1"
"Сельское поселение Индигирский национальный наслег","267","131","136","49.1","50.9"
"Сельское поселение Момский национальный наслег","2,142","999","1,143","46.6","53.4"
"Сельское поселение Соболохский национальный наслег","195","90","105","46.2","53.8"
"Сельское поселение Тебюляхский национальный наслег","200","104","96","52.0","48.0"
"Сельское поселение Улахан-Чистайский национальный наслег","730","357","373","48.9","51.1"
"Сельское поселение Чыбагалахский национальный наслег","199","107","92","53.8","46.2"
"Намский муниципальный район - сельское население","25,142","11,880","13,262","47.3","52.7"
"Сельское поселение Арбынский наслег","260","131","129","50.4","49.6"
"Сельское поселение Бетюнский наслег","594","308","286","51.9","48.1"
"Сельское поселение Едейский наслег","1,059","540","519","51.0","49.0"
"Сельское поселение Искровский наслег","191","103","88","53.9","46.1"
"Сельское поселение Кебекенский наслег","505","258","247","51.1","48.9"
"Сельское поселение Ленский наслег - село Намцы","9,925","4,337","5,588","43.7","56.3"
"Сельское поселение Маймагинский наслег","166","83","83","50.0","50.0"
"Сельское поселение Модутский наслег","1,009","496","513","49.2","50.8"
"Сельское поселение Никольский наслег","493","251","242","50.9","49.1"
"Сельское поселение Партизанский наслег","1,009","500","509","49.6","50.4"
"Сельское поселение Салбанский наслег","313","155","158","49.5","50.5"
"Сельское поселение Тастахский наслег","321","158","163","49.2","50.8"
"Сельское поселение Тюбинский наслег","420","209","211","49.8","50.2"
"Сельское поселение Фрунзенский наслег","92","45","47","48.9","51.1"
"Сельское поселение Хамагаттинский наслег","2,140","1,056","1,084","49.3","50.7"
"Сельское поселение Хатын-Арынский наслег","3,112","1,504","1,608","48.3","51.7"
"Сельское поселение Хатырыкский наслег","1,043","510","533","48.9","51.1"
"Сельское поселение Хомустахский 1-й наслег","1,686","817","869","48.5","51.5"
"Сельское поселение Хомустахский 2-й наслег","804","419","385","52.1","47.9"
"Нерюнгринский муниципальный район","68,790","33,261","35,529","48.4","51.6"
"Городское население","67,530","32,663","34,867","48.4","51.6"
"Сельское население","1,260","598","662","47.5","52.5"
"Городское поселение Город Нерюнгри - городское население - г. Нерюнгри","53,409","25,687","27,722","48.1","51.9"
"Городское поселение поселок Беркакит - городское население - пгт Беркакит","3,567","1,722","1,845","48.3","51.7"
"Городское поселение поселок Золотинка - городское население - пгт Золотинка","576","281","295","48.8","51.2"
"Городское поселение поселок Серебряный Бор - городское население - пгт Серебряный Бор","2,042","1,101","941","53.9","46.1"
"Городское поселение поселок Хани - городское население - пгт Хани","651","337","314","51.8","48.2"
"Городское поселение поселок Чульман","7,509","3,664","3,845","48.8","51.2"
"Городское население - пгт Чульман","7,285","3,535","3,750","48.5","51.5"
"Сельское население","224","129","95","57.6","42.4"
"Сельское поселение Иенгринский эвенкийский национальный наслег (сельский округ) - сельское население","1,036","469","567","45.3","54.7"
"Нижнеколымский муниципальный район","4,214","2,034","2,180","48.3","51.7"
"Городское население","2,623","1,228","1,395","46.8","53.2"
"Сельское население","1,591","806","785","50.7","49.3"
"Городское поселение поселок Черский - городское население - пгт Черский","2,623","1,228","1,395","46.8","53.2"
"Сельское национальное юкагирское  поселение ""Олеринский Суктул"" - сельское население","741","372","369","50.2","49.8"
"Сельское поселение Походский наслег - сельское население","201","103","98","51.2","48.8"
"Сельское поселение Чукотский национальный Халарчинский наслег - сельское население","649","331","318","51.0","49.0"
"Нюрбинский муниципальный район","23,303","11,231","12,072","48.2","51.8"
"Городское население","10,138","4,691","5,447","46.3","53.7"
"Сельское население","13,165","6,540","6,625","49.7","50.3"
"Городское поселение Город Нюрба - городское население - г. Нюрба","10,138","4,691","5,447","46.3","53.7"
"Сельское поселение Аканинский наслег - сельское население","426","209","217","49.1","50.9"
"Сельское поселение Бордонский наслег - сельское население","1,541","765","776","49.6","50.4"
"Сельское поселение Дикимдинский наслег - сельское население","363","179","184","49.3","50.7"
"Сельское поселение Едейский наслег - сельское население","173","84","89","48.6","51.4"
"Сельское поселение Жарханский наслег - сельское население","401","213","188","53.1","46.9"
"Сельское поселение Кангаласский наслег - сельское население","506","259","247","51.2","48.8"
"Сельское поселение Кюндядинский наслег - сельское население","813","402","411","49.4","50.6"
"Сельское поселение Мальжагарский наслег - сельское население","420","213","207","50.7","49.3"
"Сельское поселение Мархинский наслег - сельское население","306","150","156","49.0","51.0"
"Сельское поселение Мегежекский наслег - сельское население","392","214","178","54.6","45.4"
"Сельское поселение Нюрбачанский наслег - сельское население","481","255","226","53.0","47.0"
"Сельское поселение Октябрьский наслег - сельское население","3,214","1,528","1,686","47.5","52.5"
"село Антоновка","3,102","1,476","1,626","47.6","52.4"
"прочие сельские населенные пункты","112","52","60","46.4","53.6"
"Сельское поселение Сюлинский наслег - сельское население","506","265","241","52.4","47.6"
"Сельское поселение Таркайинский наслег - сельское население","857","412","445","48.1","51.9"
"Сельское поселение Тюмюкский наслег - сельское население","780","399","381","51.2","48.8"
"Сельское поселение Хорулинский наслег - сельское население","673","332","341","49.3","50.7"
"Сельское поселение Чаппандинский наслег - сельское население","783","389","394","49.7","50.3"
"Сельское поселение Чукарский наслег - сельское население","530","272","258","51.3","48.7"
"Оймяконский муниципальный район","7,730","3,893","3,837","50.4","49.6"
"Городское население","4,580","2,346","2,234","51.2","48.8"
"Сельское население","3,150","1,547","1,603","49.1","50.9"
"Городское поселение поселок Артык","352","185","167","52.6","47.4"
"Городское население - пгт Артык","352","185","167","52.6","47.4"
"Сельское население","-","-","-","-","-"
"Городское поселение поселок Усть-Нера - городское население - пгт Усть-Нера","4,228","2,161","2,067","51.1","48.9"
"Сельское поселение Борогонский 2-й наслег - сельское население","1,141","542","599","47.5","52.5"
"Сельское поселение Оймякон Полюс Холода - сельское население","845","423","422","50.1","49.9"
"Сельское поселение Сордоннохский наслег - сельское население","414","200","214","48.3","51.7"
"Сельское поселение Терютский наслег - сельское население","376","187","189","49.7","50.3"
"Сельское поселение Ючюгейский наслег - сельское население","374","195","179","52.1","47.9"
"Олекминский муниципальный район","21,026","10,307","10,719","49.0","51.0"
"Городское население","8,398","3,920","4,478","46.7","53.3"
"Сельское население","12,628","6,387","6,241","50.6","49.4"
"Городское поселение Город Олекминск","9,348","4,401","4,947","47.1","52.9"
"Городское население - г. Олекминск","8,398","3,920","4,478","46.7","53.3"
"Сельское население","950","481","469","50.6","49.4"
"Сельское поселение Абагинский наслег - сельское население","860","415","445","48.3","51.7"
"Сельское поселение Дабанский наслег - сельское население","314","165","149","52.5","47.5"
"Сельское поселение Дельгейский наслег - сельское население","319","159","160","49.8","50.2"
"Сельское поселение Жарханский национальный наслег - сельское население","1,040","509","531","48.9","51.1"
"Сельское поселение Киндигирский национальный наслег - сельское население","220","100","120","45.5","54.5"
"Сельское поселение Кыллахский наслег - сельское население","900","462","438","51.3","48.7"
"Сельское поселение Кяччинский наслег - сельское население","293","150","143","51.2","48.8"
"Сельское поселение Мальжагарский наслег - сельское население","1,051","516","535","49.1","50.9"
"Сельское поселение Мачинский наслег - сельское население","247","133","114","53.8","46.2"
"Сельское поселение Нерюктяйинский 1-й наслег - сельское население","790","392","398","49.6","50.4"
"Сельское поселение Нерюктяйинский 2-й наслег - сельское население","735","376","359","51.2","48.8"
"Сельское поселение Олекминский наслег - сельское население","736","386","350","52.4","47.6"
"Сельское поселение поселок Заречный - сельское население","483","246","237","50.9","49.1"
"Сельское поселение Саныяхтахский наслег - сельское население","638","317","321","49.7","50.3"
"Сельское поселение Солянский наслег - сельское население","331","168","163","50.8","49.2"
"Сельское поселение Троицкий наслег - сельское население","216","115","101","53.2","46.8"
"Сельское поселение Тянский национальный наслег","417","227","190","54.4","45.6"
"Городское население - пгт Торго","-","-","-","-","-"
"Сельское население","417","227","190","54.4","45.6"
"Сельское поселение Улахан-Мунгкунский наслег - сельское население","355","187","168","52.7","47.3"
"Сельское поселение Урицкий наслег - сельское население","252","133","119","52.8","47.2"
"Сельское поселение Хоринский наслег - сельское население","660","332","328","50.3","49.7"
"Сельское поселение Чапаевский наслег - сельское население","696","355","341","51.0","49.0"
"Сельское поселение Чаринский национальный наслег - сельское население","125","63","62","50.4","49.6"
"Оленекский эвенкийский национальный муниципальный район - сельское население","4,313","2,102","2,211","48.7","51.3"
"Сельское поселение Жилиндинский национальный наслег","758","386","372","50.9","49.1"
"Сельское поселение Кирбейский национальный наслег","857","424","433","49.5","50.5"
"Сельское поселение Оленекский национальный наслег","2,351","1,125","1,226","47.9","52.1"
"Сельское поселение Шологонский национальный наслег","347","167","180","48.1","51.9"
"Среднеколымский муниципальный район","6,805","3,287","3,518","48.3","51.7"
"Городское население","3,131","1,459","1,672","46.6","53.4"
"Сельское население","3,674","1,828","1,846","49.8","50.2"
"Городское поселение Город Среднеколымск","3,132","1,460","1,672","46.6","53.4"
"Городское население - г. Среднеколымск","3,131","1,459","1,672","46.6","53.4"
"Сельское население","1","1","-","100.0","-"
"Сельское поселение Алазейский наслег - сельское население","511","260","251","50.9","49.1"
"Сельское поселение Байдинский наслег - сельское население","327","155","172","47.4","52.6"
"Сельское поселение Березовский национальный (кочевой) наслег - сельское население","283","148","135","52.3","47.7"
"Сельское поселение Кангаласский 1-й наслег - сельское население","512","252","260","49.2","50.8"
"Сельское поселение Кангаласский 2-й наслег - сельское население","369","181","188","49.1","50.9"
"Сельское поселение Мятисский 1-й наслег - сельское население","400","204","196","51.0","49.0"
"Сельское поселение Мятисский 2-й наслег - сельское население","512","257","255","50.2","49.8"
"Сельское поселение Сень-Кюельский наслег - сельское население","530","256","274","48.3","51.7"
"Сельское поселение Хатынгнахский наслег - сельское население","229","114","115","49.8","50.2"
"Сунтарский муниципальный район - сельское население","22,643","10,818","11,825","47.8","52.2"
"Сельское поселение Аллагинский наслег","372","186","186","50.0","50.0"
"Сельское поселение Арылахский наслег","559","283","276","50.6","49.4"
"Сельское поселение Бордонский наслег","761","378","383","49.7","50.3"
"Сельское поселение Вилючанский наслег","602","276","326","45.8","54.2"
"Сельское поселение Жарханский наслег","433","226","207","52.2","47.8"
"Сельское поселение Илимнирский наслег","253","132","121","52.2","47.8"
"Сельское поселение Кемпендяйский наслег","357","168","189","47.1","52.9"
"Сельское поселение Крестяхский наслег","781","385","396","49.3","50.7"
"Сельское поселение Куокунинский наслег","543","279","264","51.4","48.6"
"Сельское поселение Кутанинский наслег","723","371","352","51.3","48.7"
"Сельское поселение Кюкяйский наслег","342","169","173","49.4","50.6"
"Сельское поселение Кюндяйинский наслег","732","367","365","50.1","49.9"
"Сельское поселение Мар-Кюельский наслег","404","195","209","48.3","51.7"
"Сельское поселение Нахаринский наслег","114","58","56","50.9","49.1"
"Сельское поселение Сунтарский наслег - село Сунтар","10,302","4,750","5,552","46.1","53.9"
"Сельское поселение Тенкинский наслег","130","66","64","50.8","49.2"
"Сельское поселение Тойбохойский наслег","1,278","625","653","48.9","51.1"
"Сельское поселение Толонский наслег","106","59","47","55.7","44.3"
"Сельское поселение Туойдахский наслег","146","77","69","52.7","47.3"
"Сельское поселение Тюбяй-Жарханский наслег","503","230","273","45.7","54.3"
"Сельское поселение Тюбяйский наслег","220","106","114","48.2","51.8"
"Сельское поселение Устьинский наслег","316","149","167","47.2","52.8"
"Сельское поселение Хаданский наслег","312","153","159","49.0","51.0"
"Сельское поселение Хоринский наслег","217","105","112","48.4","51.6"
"Сельское поселение Шеинский наслег","567","288","279","50.8","49.2"
"Сельское поселение Эльгяйский наслег","1,570","737","833","46.9","53.1"
"Таттинский муниципальный район - сельское население","17,011","8,209","8,802","48.3","51.7"
"Сельское поселение Алданский наслег","1,126","546","580","48.5","51.5"
"Сельское поселение Амгинский наслег","648","322","326","49.7","50.3"
"Сельское поселение Баягинский наслег","921","450","471","48.9","51.1"
"Сельское поселение Дайа-Амгинский наслег","263","133","130","50.6","49.4"
"Сельское поселение Жохсогонский наслег","1,011","495","516","49.0","51.0"
"Сельское поселение Жулейский наслег","622","302","320","48.6","51.4"
"Сельское поселение Игидейский наслег","762","370","392","48.6","51.4"
"Сельское поселение Октябрьский наслег","1,130","575","555","50.9","49.1"
"Сельское поселение Средне-Амгинский наслег","1,031","502","529","48.7","51.3"
"Сельское поселение Таттинский наслег - село Ытык-Кюёль","7,472","3,496","3,976","46.8","53.2"
"Сельское поселение Тыарасинский наслег","719","351","368","48.8","51.2"
"Сельское поселение Уолбинский наслег","514","264","250","51.4","48.6"
"Сельское поселение Усть-Амгинский наслег","506","260","246","51.4","48.6"
"Сельское поселение Хара-Алданский наслег","286","143","143","50.0","50.0"
"Томпонский муниципальный район","11,241","5,528","5,713","49.2","50.8"
"Городское население","6,306","3,082","3,224","48.9","51.1"
"Сельское население","4,935","2,446","2,489","49.6","50.4"
"Городское поселение поселок Джебарики-Хая - городское население - пгт Джебарики-Хая","1,025","502","523","49.0","51.0"
"Городское поселение поселок Хандыга - городское население - пгт Хандыга","5,281","2,580","2,701","48.9","51.1"
"Сельское поселение Баягантайский наслег - сельское население","1,639","794","845","48.4","51.6"
"Сельское поселение Мегино-Алданский наслег - сельское население","1,016","511","505","50.3","49.7"
"Сельское поселение Охот-перевозовский наслег - сельское население","140","81","59","57.9","42.1"
"Сельское поселение Сасыльский наслег - сельское население","425","206","219","48.5","51.5"
"Сельское поселение Теплоключевский наслег - сельское население","454","223","231","49.1","50.9"
"Сельское поселение Томпонский национальный (эвенский) наслег - сельское население","869","444","425","51.1","48.9"
"Сельское поселение Ынгинский наслег - сельское население","392","187","205","47.7","52.3"
"Усть-Алданский муниципальный район - сельское население","22,575","10,993","11,582","48.7","51.3"
"Сельское поселение Батагайский наслег","549","264","285","48.1","51.9"
"Сельское поселение Баягантайский наслег","626","329","297","52.6","47.4"
"Сельское поселение Берт-Усовский наслег","734","358","376","48.8","51.2"
"Сельское поселение Борогонский наслег","835","404","431","48.4","51.6"
"Сельское поселение Бярийинский наслег","195","104","91","53.3","46.7"
"Сельское поселение Дюпсюнский наслег","1,428","716","712","50.1","49.9"
"Сельское поселение Курбусахский наслег","999","506","493","50.7","49.3"
"Сельское поселение Легейский наслег","1,479","732","747","49.5","50.5"
"Сельское поселение Легойский 2-й наслег","608","284","324","46.7","53.3"
"Сельское поселение Мюрюнский наслег","7,447","3,450","3,997","46.3","53.7"
"село Борогонцы","6,416","2,969","3,447","46.3","53.7"
"прочие сельские населенные пункты","1,031","481","550","46.7","53.3"
"Сельское поселение Наяхинский наслег","887","446","441","50.3","49.7"
"Сельское поселение Ольтехский наслег","968","477","491","49.3","50.7"
"Сельское поселение Онерский наслег","617","304","313","49.3","50.7"
"Сельское поселение Оспехский 1-й наслег","593","303","290","51.1","48.9"
"Сельское поселение Оспехский наслег","225","97","128","43.1","56.9"
"Сельское поселение Суоттунский наслег","1,743","907","836","52.0","48.0"
"Сельское поселение Тит-Арынский наслег","386","193","193","50.0","50.0"
"Сельское поселение Тюляхский наслег","455","231","224","50.8","49.2"
"Сельское поселение Хоринский 1-й наслег","830","406","424","48.9","51.1"
"Сельское поселение Хоринский наслег","555","265","290","47.7","52.3"
"Сельское поселение Чериктейский наслег","416","217","199","52.2","47.8"
"Усть-Майский муниципальный район","7,446","3,853","3,593","51.7","48.3"
"Городское население","5,093","2,690","2,403","52.8","47.2"
"Сельское население","2,353","1,163","1,190","49.4","50.6"
"Городское поселение поселок Звездочка - городское население - пгт Звездочка","294","221","73","75.2","24.8"
